coffee_shop_name,num_reviews,rating,coffee,tea,vibe,internet,food,alcohol,seating,service,parking,location,local,price,hours
Cafe Ruckus,68,4.426470588235294,0.8676470588235294,0.11764705882352941,,0.029411764705882353,0.20588235294117646,0.0,0.11764705882352941,0.45588235294117646,0.029411764705882353,0.23529411764705882,0.0,0.029411764705882353,0.029411764705882353
Trianon Coffee,98,4.020408163265306,0.7448979591836735,0.05102040816326531,,0.09183673469387756,0.20408163265306123,0.0,0.23469387755102042,0.5102040816326531,0.0,0.08163265306122448,0.17346938775510204,0.01020408163265306,-0.01020408163265306
Cafe Crème,100,4.37,0.54,0.02,0.47,0.04,0.52,0.0,0.09,0.37,0.03,0.02,0.06,0.0,0.03
Brian's Brew,45,4.844444444444444,0.8888888888888888,0.0,0.044444444444444446,0.0,0.1111111111111111,0.0,0.022222222222222223,0.2222222222222222,0.1111111111111111,0.022222222222222223,0.022222222222222223,0.0,0.0
Summer Moon Coffee Bar,100,4.09,0.71,-0.02,0.19,0.01,0.07,0.0,0.05,0.13,-0.02,0.0,0.01,0.01,-0.02
Flat Track Coffee,63,4.571428571428571,0.7936507936507936,0.0,0.2222222222222222,0.015873015873015872,0.12698412698412698,0.0,0.047619047619047616,0.3968253968253968,0.06349206349206349,0.015873015873015872,0.031746031746031744,0.0,0.0
Seventh Flag Coffee Co,100,4.34,0.64,0.05,0.36,0.06,0.15,0.0,0.17,0.41,0.16,0.14,0.02,0.01,0.06
Alta's Cafe,100,3.93,0.39,0.01,,0.0,0.18,0.19,0.35,0.35,-0.01,0.17,0.03,0.0,0.08
Lola Savannah Coffee Downtown,4,5.0,0.5,0.5,,0.0,0.0,0.0,0.25,0.5,0.0,0.75,0.0,0.0,0.0
Tuscany At 360,33,3.8181818181818183,0.18181818181818182,0.030303030303030304,,0.06060606060606061,0.2727272727272727,0.030303030303030304,0.5151515151515151,0.06060606060606061,0.030303030303030304,0.21212121212121213,0.0,0.12121212121212122,0.0
Cafe Java,100,4.33,0.47,0.02,,0.02,0.92,0.0,0.05,0.62,0.04,0.01,0.04,0.18,0.02
Figure 8 Coffee Purveyors,100,4.5,0.88,0.0,0.47,0.03,0.11,0.0,0.15,0.32,0.1,0.08,0.08,0.02,0.02
Halcyon,300,3.82,0.33,0.04,0.61,-0.01,0.27,0.04,0.09,0.16,0.05,0.09,-0.01,0.01,0.056666666666666664
